November	tháng 11
OK	tán thành
October	tháng 10
Saturday	thứ 7
Sunday	Chủ nhật
TV	vô tuyến truyền hình
Thursday	thứ 5
Tuesday	thứ 3
Wednesday	thứ 4
mouth	miệng
move	chuyển động
movement	sự hoạt động
movie	phim xi nê
movie theater	rạp chiếu phim
moving	hoạt động
much	lắm
mud	bùn
multiply	làm tăng lên nhiều lần
mum	mẹ
murder	tội ám sát
muscle	bắp thịt
museum	bảo tàng
music	âm nhạc
musical	âm nhạc
musician	nhạc sĩ
my	của tôi
myself	chính tôi
mysterious	khó hiểu
mystery	điều thần bí
nail	chân) móng vuốt
naked	trơ trụi
name	tên
narrow	chật hẹp
nation	quốc gia
national	dân tộc
natural	thiên nhiên
naturally	đương nhiên
nature	thiên nhiên
navy	hải quân
near	cận
nearby	gần
nearly	suýt
neat	ngăn nắp
neatly	ngăn nắp
necessarily	nhất thiết
necessary	thiết yếu
neck	cổ
need	đòi hỏi
needle	mũi nhọn
negative	phủ định
neighbour	hàng xóm
neighbourhood	làng giềng
neither	không này mà cũng không kia
nephew	em)
nerve	can đảm
nervous	hay lo lắng
nervously	lo lắng
nest	ổ
net	mạng
network	hệ thống
never	không khi nào
nevertheless	tuy thế mà
new	mới lạ
newly	mới
news	tin tức
newspaper	báo
next	gần
next	bên cạnh
nice	dễ chịu
nicely	dễ chịu
niece	cháu gái
night	tối
no	không
nobody	không người nào
noise	sự huyên náo
noisily	huyên náo
noisy	huyên náo
none	vật gì
nonsense	vô nghĩa
nor	cũng không
normal	bình thường
normally	như thường lệ
north	phương bắc
northern	Bắc
nose	mũi
not	không
note	lời ghi chép
nothing	không cái gì
notice	yết thị
novel	truyện
now	hiện nay
nowhere	không ở đâu
nuclear	thuộc hạt nhân
number	số
nurse	y tá
nut	quả hạch
obey	tuân lệnh
object	vật thể
objective	mục đích
observation	sự theo dõi
observe	theo dõi
obtain	giành được
obvious	hiển nhiên
obviously	có thể thấy được
occasion	cơ hội
occasionally	đôi khi
occupied	đầy (người)
occupy	chiếm giữ
occur	xuất hiện
ocean	đại dương
odd	lẻ (số)
oddly	lẻ (số)
of	của
off	tắt
offence	sự phạm tội
offend	làm khó chịu
offensive	cuộc tấn công
offer	cho
office	bộ
officer	sĩ quan
official	văn phòng
officially	một cách chính thức
often	luôn
oh	này..
oil	dầu
old	già
old-fashioned	lỗi thời
on	ở trên
once	một lần
one	một
onion	củ hành
only	duy nhất
onto	lên trên
open	ngỏ
opening	lỗ
openly	thẳng thắn
operate	điều khiển
operation	quá trình hoạt động
opinion	quan điểm
opponent	kẻ thù
opportunity	thời cơ
oppose	đối lập
opposed	phản đối
opposing	đối chọi
opposite	ngược nhau
opposition	sự đối nhau
option	sự lựa chọn
orange	quả cam
order	bậc
ordinary	thông thường
organ	đàn óoc gan
organization	cơ quan
organize	thiết lập
organized	được tổ chức
origin	căn nguyên
original	căn nguyên
originally	độc đáo
other	khác
otherwise	cách khác
ought to	hẳn là
our	của chúng mình
ours	của chúng mình
ourselves	bản thân chúng mình
out	ra ngoài
outdoor	ở ngoài
outdoors	ở ngoài nhà
outer	ở xa hơn
outline	phác tảo
output	sự sản xuất
outside	bên ngoài
outstanding	đáng chú ý
oven	lò (nướng)
over	vượt qua
overall	toàn thể
overcome	đánh bại (khó khăn)
owe	hàm ơn
own	tự mình
owner	chủ nhân
o’clock	đúng giờ
pace	bước
pack	bọc
package	bưu kiện
packaging	bao bì
packet	gói nhỏ
pain	sự đau khổ
painful	đau khổ
paint	vôi màu
painter	họa sĩ
painting	sự sơn
pair	cặp
palace	lâu đài
pale	nhợt
pan	chảo
panel	pa nô
pants	đùi
paper	giấy
parallel	tương đương
parent	mẹ
park	vườn hoa
parliament	quốc hội
part	bộ phận
particular	cá biệt
particularly	riêng biệt
partly	phần nào đó
partner	cộng sự
partnership	sự cộng tác
party	buổi liên hoan
pass	ngang qua
passage	sự trôi qua
passenger	hành khách
passing	sự trôi qua
passport	hộ chiếu
past	dĩ vãng
path	đường mòn
patience	sự chịu đựng
